IDNO;age;formation;dom_Typo_panel
CH11849;4;2;B
CH1185;1;4;B
CH11850;1;5;B
CH11852;3;6;A
CH11855;3;5;B
CH11856;5;2;B
CH11861;2;6;D
CH11868;5;5;B
CH11870;3;5;A
CH11875;4;5;B
CH11878;2;4;B
CH1188;4;3;C
CH11886;4;3;D
CH11889;3;6;A
